date,plant_id,product_id,product_type,grade,thickness_mm,length_mm,price_per_ton,promotion,stock_ton,weekday,month,holiday,sales_ton,prev_day_sales_ton,rolling_7d_mean_ton,rolling_30d_mean_ton
2023-01-27,1,1,coil,C,2.0,12000,897.3,0,67.24,4,1,0,2.141,2.016,1.8498571428571429,1.8523333333333332
2023-01-28,1,1,coil,C,2.0,12000,866.62,0,222.65,5,1,0,1.254,2.141,1.7995714285714288,1.8309642857142858
2023-01-29,1,1,coil,C,2.0,12000,884.15,0,152.85,6,1,0,1.683,1.254,1.932714285714286,1.8258620689655174
2023-01-30,1,1,coil,C,2.0,12000,903.65,0,199.07,0,1,0,1.522,1.683,1.864428571428571,1.8157333333333334
2023-01-31,1,1,coil,C,2.0,12000,873.87,0,205.12,1,1,0,2.025,1.522,1.8178571428571428,1.8322
2023-02-01,1,1,coil,C,2.0,12000,863.61,0,223.89,2,2,0,2.181,2.025,1.8317142857142859,1.8415333333333332
2023-02-02,1,1,coil,C,2.0,12000,867.72,0,216.99,3,2,0,2.243,2.181,1.864142857142857,1.8396666666666666
2023-02-03,1,1,coil,C,2.0,12000,890.89,0,161.23,4,2,0,2.379,2.243,1.8981428571428574,1.8608666666666667
2023-02-04,1,1,coil,C,2.0,12000,877.51,0,270.26,5,2,0,1.744,2.379,1.9681428571428572,1.8464333333333334
2023-02-05,1,1,coil,C,2.0,12000,865.32,0,175.33,6,2,0,1.638,1.744,1.9617142857142855,1.8402333333333334
2023-02-06,1,1,coil,C,2.0,12000,863.14,0,285.33,0,2,0,2.545,1.638,2.107857142857143,1.8740333333333334
2023-02-07,1,1,coil,C,2.0,12000,777.79,1,232.45,1,2,0,3.632,2.545,2.3374285714285716,1.9572666666666667
2023-02-08,1,1,coil,C,2.0,12000,891.72,0,231.03,2,2,0,2.116,3.632,2.3281428571428573,1.9541333333333335
2023-02-09,1,1,coil,C,2.0,12000,876.34,0,182.16,3,2,0,2.404,2.116,2.3511428571428574,1.954033333333333
2023-02-10,1,1,coil,C,2.0,12000,897.27,0,268.19,4,2,0,2.909,2.404,2.4268571428571426,1.9776333333333331
2023-02-11,1,1,coil,C,2.0,12000,865.44,0,128.0,5,2,0,1.733,2.909,2.4252857142857143,1.9812666666666667
2023-02-12,1,1,coil,C,2.0,12000,893.25,0,230.88,6,2,0,1.669,1.733,2.4297142857142857,1.98
2023-02-13,1,1,coil,C,2.0,12000,868.45,0,211.31,0,2,0,2.542,1.669,2.4292857142857143,2.0138666666666665
2023-02-14,1,1,coil,C,2.0,12000,761.91,1,208.74,1,2,0,3.79,2.542,2.451857142857143,2.1066
2023-02-15,1,1,coil,C,2.0,12000,890.0,0,236.73,2,2,0,1.912,3.79,2.4227142857142856,2.0933666666666664
2023-02-16,1,1,coil,C,2.0,12000,875.65,0,238.5,3,2,0,2.648,1.912,2.4575714285714283,2.1211333333333333
2023-02-17,1,1,coil,C,2.0,12000,890.25,0,156.62,4,2,0,2.249,2.648,2.363285714285714,2.1307333333333336
2023-02-18,1,1,coil,C,2.0,12000,873.01,0,243.93,5,2,0,1.3,2.249,2.301428571428571,2.1036333333333332
2023-02-19,1,1,coil,C,2.0,12000,896.28,0,336.72,6,2,0,1.339,1.3,2.254285714285714,2.0802
2023-02-20,1,1,coil,C,2.0,12000,869.93,0,151.85,0,2,0,2.6,1.339,2.2625714285714285,2.1133333333333333
2023-02-21,1,1,coil,C,2.0,12000,782.95,1,193.79,1,2,0,4.28,2.6,2.3325714285714283,2.2309666666666668
2023-02-22,1,1,coil,C,2.0,12000,903.7,0,177.38,2,2,0,2.393,4.28,2.4012857142857142,2.244066666666667
2023-02-23,1,1,coil,C,2.0,12000,898.76,0,153.7,3,2,0,2.032,2.393,2.313285714285714,2.233433333333333
2023-02-24,1,1,coil,C,2.0,12000,902.49,0,231.5,4,2,0,2.701,2.032,2.3778571428571427,2.254
2023-02-25,1,1,coil,C,2.0,12000,888.38,0,252.87,5,2,0,1.359,2.701,2.3862857142857146,2.2321
2023-02-26,1,1,coil,C,2.0,12000,891.98,0,152.05,6,2,0,1.75,1.359,2.445,2.219066666666667
2023-02-27,1,1,coil,C,2.0,12000,896.92,0,215.22,0,2,0,2.283,1.75,2.399714285714286,2.2533666666666665
2023-02-28,1,1,coil,C,2.0,12000,883.82,0,271.87,1,2,0,2.27,2.283,2.1125714285714285,2.2729333333333335
2023-03-01,1,1,coil,C,2.0,12000,892.2,0,211.61,2,3,0,2.325,2.27,2.1028571428571428,2.2997
2023-03-02,1,1,coil,C,2.0,12000,877.86,0,208.25,3,3,0,2.085,2.325,2.1104285714285713,2.3016999999999994
2023-03-03,1,1,coil,C,2.0,12000,881.81,0,110.58,4,3,0,2.433,2.085,2.072142857142857,2.3101
2023-03-04,1,1,coil,C,2.0,12000,862.69,0,155.34,5,3,0,1.351,2.433,2.071,2.2803666666666667
2023-03-05,1,1,coil,C,2.0,12000,895.19,0,227.48,6,3,0,0.98,1.351,1.961,2.2337333333333333
2023-03-06,1,1,coil,C,2.0,12000,863.62,0,319.45,0,3,0,2.972,0.98,2.0594285714285716,2.2746666666666666
2023-03-07,1,1,coil,C,2.0,12000,893.26,0,200.76,1,3,0,2.415,2.972,2.080142857142857,2.300566666666667
2023-03-08,1,1,coil,C,2.0,12000,896.3,0,177.78,2,3,0,1.769,2.415,2.0007142857142854,2.2747
2023-03-09,1,1,coil,C,2.0,12000,862.47,0,161.41,3,3,0,2.93,1.769,2.1214285714285714,2.2513
2023-03-10,1,1,coil,C,2.0,12000,868.23,0,215.89,4,3,0,1.922,2.93,2.0484285714285715,2.2448333333333332
2023-03-11,1,1,coil,C,2.0,12000,890.36,0,218.86,5,3,0,1.878,1.922,2.1237142857142857,2.2273
2023-03-12,1,1,coil,C,2.0,12000,879.79,0,163.46,6,3,0,1.029,1.878,2.130714285714286,2.164633333333333
2023-03-13,1,1,coil,C,2.0,12000,861.98,0,188.13,0,3,0,3.003,1.029,2.1351428571428572,2.2069666666666667
2023-03-14,1,1,coil,C,2.0,12000,882.96,0,135.25,1,3,0,2.312,3.003,2.1204285714285716,2.2284
2023-03-15,1,1,coil,C,2.0,12000,878.86,0,277.15,2,3,0,2.762,2.312,2.2622857142857145,2.2357333333333336
2023-03-16,1,1,coil,C,2.0,12000,877.81,0,202.93,3,3,0,3.076,2.762,2.283142857142857,2.2119333333333335
2023-03-17,1,1,coil,C,2.0,12000,890.3,0,189.88,4,3,0,2.332,3.076,2.3417142857142856,2.225933333333333
2023-03-18,1,1,coil,C,2.0,12000,902.67,0,105.13,5,3,0,1.738,2.332,2.3217142857142856,2.1955999999999998
2023-03-19,1,1,coil,C,2.0,12000,881.49,0,234.34,6,3,0,1.436,1.738,2.379857142857143,2.1685
2023-03-20,1,1,coil,C,2.0,12000,903.59,0,175.68,0,3,0,2.317,1.436,2.2818571428571426,2.2024
2023-03-21,1,1,coil,C,2.0,12000,898.48,0,168.89,1,3,0,2.173,2.317,2.262,2.2302000000000004
2023-03-22,1,1,coil,C,2.0,12000,888.99,0,218.1,2,3,0,2.5,2.173,2.2245714285714286,2.226866666666667
2023-03-23,1,1,coil,C,2.0,12000,873.75,0,227.59,3,3,0,2.186,2.5,2.0974285714285714,2.1570666666666667
2023-03-24,1,1,coil,C,2.0,12000,904.88,0,110.62,4,3,0,1.886,2.186,2.033714285714286,2.1401666666666666
2023-03-25,1,1,coil,C,2.0,12000,876.33,0,277.64,5,3,0,1.301,1.886,1.9712857142857145,2.1158
2023-03-26,1,1,coil,C,2.0,12000,865.88,0,200.61,6,3,0,1.742,1.301,2.0149999999999997,2.083833333333333
2023-03-27,1,1,coil,C,2.0,12000,875.42,0,188.04,0,3,0,2.65,1.742,2.0625714285714287,2.1268666666666665
2023-03-28,1,1,coil,C,2.0,12000,793.0,1,186.45,1,3,0,3.995,2.65,2.322857142857143,2.2017
2023-03-29,1,1,coil,C,2.0,12000,903.13,0,295.62,2,3,0,2.582,3.995,2.3345714285714285,2.2116666666666664
2023-03-30,1,1,coil,C,2.0,12000,874.24,0,260.25,3,3,0,2.041,2.582,2.3138571428571426,2.2040333333333333
2023-03-31,1,1,coil,C,2.0,12000,896.14,0,165.04,4,3,0,2.294,2.041,2.3721428571428573,2.2030000000000003
2023-04-01,1,1,coil,C,2.0,12000,880.76,0,184.55,5,4,0,1.672,2.294,2.425142857142857,2.1892333333333336
2023-04-02,1,1,coil,C,2.0,12000,867.64,0,230.69,6,4,0,1.876,1.672,2.4442857142857144,2.170666666666667
2023-04-03,1,1,coil,C,2.0,12000,865.05,0,178.33,0,4,0,2.521,1.876,2.425857142857143,2.2096666666666662
2023-04-04,1,1,coil,C,2.0,12000,892.39,0,257.72,1,4,0,2.185,2.521,2.1672857142857143,2.249833333333333
2023-04-05,1,1,coil,C,2.0,12000,904.68,0,166.79,2,4,0,2.678,2.185,2.181,2.2400333333333338
2023-04-06,1,1,coil,C,2.0,12000,895.5,0,98.15,3,4,0,2.784,2.678,2.287142857142857,2.252333333333333
2023-04-07,1,1,coil,C,2.0,12000,866.24,0,184.88,4,4,0,2.451,2.784,2.309571428571428,2.275066666666667
2023-04-08,1,1,coil,C,2.0,12000,863.83,0,263.56,5,4,0,1.709,2.451,2.314857142857143,2.2343666666666664
2023-04-09,1,1,coil,C,2.0,12000,903.64,0,127.72,6,4,0,1.11,1.709,2.2054285714285715,2.2072999999999996
2023-04-10,1,1,coil,C,2.0,12000,871.18,0,203.48,0,4,0,2.722,1.11,2.234142857142857,2.2354333333333334
2023-04-11,1,1,coil,C,2.0,12000,864.59,0,223.68,1,4,0,2.474,2.722,2.2754285714285714,2.2836000000000003
2023-04-12,1,1,coil,C,2.0,12000,889.01,0,178.4,2,4,0,2.898,2.474,2.306857142857143,2.2801
2023-04-13,1,1,coil,C,2.0,12000,887.03,0,194.45,3,4,0,2.641,2.898,2.2864285714285715,2.2910666666666666
2023-04-14,1,1,coil,C,2.0,12000,873.54,0,192.11,4,4,0,2.005,2.641,2.2227142857142854,2.2658333333333336
2023-04-15,1,1,coil,C,2.0,12000,887.0,0,104.36,5,4,0,1.517,2.005,2.1952857142857143,2.2138666666666666
2023-04-16,1,1,coil,C,2.0,12000,891.44,0,237.1,6,4,0,1.837,1.517,2.2991428571428574,2.197366666666667
2023-04-17,1,1,coil,C,2.0,12000,902.34,0,196.32,0,4,0,2.186,1.837,2.2225714285714284,2.2123
2023-04-18,1,1,coil,C,2.0,12000,904.74,0,214.77,1,4,0,1.929,2.186,2.1447142857142856,2.228733333333333
2023-04-19,1,1,coil,C,2.0,12000,903.98,0,213.78,2,4,0,2.343,1.929,2.0654285714285714,2.2296
2023-04-20,1,1,coil,C,2.0,12000,879.58,0,194.57,3,4,0,2.358,2.343,2.025,2.235766666666667
2023-04-21,1,1,coil,C,2.0,12000,897.08,0,275.81,4,4,0,2.383,2.358,2.079,2.231866666666667
2023-04-22,1,1,coil,C,2.0,12000,898.69,0,184.35,5,4,0,0.888,2.383,1.9891428571428573,2.1886
2023-04-23,1,1,coil,C,2.0,12000,903.28,0,131.57,6,4,0,1.514,0.888,1.9429999999999998,2.1762
2023-04-24,1,1,coil,C,2.0,12000,888.52,0,158.61,0,4,0,2.233,1.514,1.9497142857142857,2.207266666666667
2023-04-25,1,1,coil,C,2.0,12000,884.22,0,205.74,1,4,0,2.808,2.233,2.0752857142857146,2.2428
2023-04-26,1,1,coil,C,2.0,12000,885.61,0,251.33,2,4,0,2.384,2.808,2.0811428571428574,2.2339333333333333
2023-04-27,1,1,coil,C,2.0,12000,867.24,0,274.45,3,4,0,2.682,2.384,2.1274285714285712,2.190166666666667
2023-04-28,1,1,coil,C,2.0,12000,867.34,0,113.46,4,4,0,2.849,2.682,2.194,2.199066666666667
2023-04-29,1,1,coil,C,2.0,12000,901.09,0,210.01,5,4,0,0.701,2.849,2.1672857142857143,2.1544000000000003
2023-04-30,1,1,coil,C,2.0,12000,878.78,0,249.08,6,4,0,1.513,0.701,2.1671428571428573,2.128366666666667
2023-05-01,1,1,coil,C,2.0,12000,867.81,0,199.26,0,5,0,2.629,1.513,2.2237142857142858,2.1602666666666663
2023-05-02,1,1,coil,C,2.0,12000,881.53,0,199.69,1,5,0,2.445,2.629,2.1718571428571427,2.1792333333333334
2023-05-03,1,1,coil,C,2.0,12000,889.19,0,193.85,2,5,0,2.263,2.445,2.1545714285714284,2.1706333333333334
2023-05-04,1,1,coil,C,2.0,12000,866.98,0,144.94,3,5,0,2.532,2.263,2.133142857142857,2.1822
2023-05-05,1,1,coil,C,2.0,12000,900.76,0,302.75,4,5,0,2.13,2.532,2.0304285714285712,2.1639333333333335
2023-05-06,1,1,coil,C,2.0,12000,869.8,0,159.23,5,5,0,1.252,2.13,2.109142857142857,2.1128666666666667
2023-05-07,1,1,coil,C,2.0,12000,866.65,0,128.3,6,5,0,1.37,1.252,2.088714285714286,2.0768333333333335
2023-05-08,1,1,coil,C,2.0,12000,883.47,0,194.9,0,5,0,2.31,1.37,2.043142857142857,2.0968666666666667
2023-05-09,1,1,coil,C,2.0,12000,888.95,0,242.57,1,5,0,2.083,2.31,1.9914285714285715,2.1292999999999997
2023-05-10,1,1,coil,C,2.0,12000,869.46,0,172.64,2,5,0,1.987,2.083,1.9520000000000002,2.1048
2023-05-11,1,1,coil,C,2.0,12000,888.52,0,168.67,3,5,0,1.606,1.987,1.8197142857142858,2.0758666666666667
2023-05-12,1,1,coil,C,2.0,12000,862.96,0,242.57,4,5,0,2.082,1.606,1.8128571428571427,2.0486666666666666
2023-05-13,1,1,coil,C,2.0,12000,883.84,0,151.39,5,5,0,1.391,2.082,1.8327142857142857,2.007
2023-05-14,1,1,coil,C,2.0,12000,884.76,0,159.47,6,5,0,1.091,1.391,1.7928571428571427,1.9765333333333333
2023-05-15,1,1,coil,C,2.0,12000,862.23,0,146.94,0,5,0,2.175,1.091,1.7735714285714284,1.9984666666666666
2023-05-16,1,1,coil,C,2.0,12000,866.61,0,210.91,1,5,0,2.62,2.175,1.8502857142857145,2.0245666666666664
2023-05-17,1,1,coil,C,2.0,12000,896.03,0,156.3,2,5,0,2.208,2.62,1.8818571428571427,2.0253
2023-05-18,1,1,coil,C,2.0,12000,887.14,0,177.97,3,5,0,2.72,2.208,2.041,2.0516666666666667
2023-05-19,1,1,coil,C,2.0,12000,873.82,0,269.79,4,5,0,1.91,2.72,2.0164285714285715,2.0372333333333335
2023-05-20,1,1,coil,C,2.0,12000,877.0,0,201.38,5,5,0,1.409,1.91,2.019,2.0056
2023-05-21,1,1,coil,C,2.0,12000,865.82,0,177.09,6,5,0,1.211,1.409,2.0361428571428575,1.9665333333333335
2023-05-22,1,1,coil,C,2.0,12000,869.55,0,158.57,0,5,0,2.146,1.211,2.032,2.0084666666666666
2023-05-23,1,1,coil,C,2.0,12000,864.88,0,74.86,1,5,0,2.532,2.146,2.019428571428571,2.0423999999999998
2023-05-24,1,1,coil,C,2.0,12000,866.28,0,219.51,2,5,0,2.291,2.532,2.0312857142857146,2.0443333333333333
2023-05-25,1,1,coil,C,2.0,12000,897.26,0,163.8,3,5,0,2.012,2.291,1.930142857142857,2.0178
2023-05-26,1,1,coil,C,2.0,12000,902.19,0,302.17,4,5,0,2.632,2.012,2.0332857142857144,2.026066666666667
2023-05-27,1,1,coil,C,2.0,12000,895.17,0,171.77,5,5,0,1.003,2.632,1.9752857142857143,1.9701
2023-05-28,1,1,coil,C,2.0,12000,883.66,0,177.07,6,5,0,1.24,1.003,1.979428571428571,1.9164666666666668
2023-05-29,1,1,coil,C,2.0,12000,874.04,0,143.04,0,5,0,2.339,1.24,2.007,1.9710666666666667
2023-05-30,1,1,coil,C,2.0,12000,884.76,0,192.57,1,5,0,2.084,2.339,1.9429999999999998,1.9900999999999998
2023-05-31,1,1,coil,C,2.0,12000,864.14,0,169.9,2,5,0,2.522,2.084,1.9759999999999998,1.9865333333333333
2023-06-01,1,1,coil,C,2.0,12000,894.76,0,163.83,3,6,0,2.845,2.522,2.095,1.9998666666666665
2023-06-02,1,1,coil,C,2.0,12000,876.68,0,208.49,4,6,0,2.217,2.845,2.0357142857142856,1.9983333333333335
2023-06-03,1,1,coil,C,2.0,12000,864.27,0,224.4,5,6,0,1.817,2.217,2.152,1.9745
2023-06-04,1,1,coil,C,2.0,12000,867.49,0,170.27,6,6,0,1.509,1.817,2.1904285714285714,1.9538000000000002
2023-06-05,1,1,coil,C,2.0,12000,868.57,0,227.17,0,6,0,2.521,1.509,2.2164285714285716,1.9960999999999998
2023-06-06,1,1,coil,C,2.0,12000,877.12,0,186.49,1,6,0,2.453,2.521,2.269142857142857,2.0322
2023-06-07,1,1,coil,C,2.0,12000,880.65,0,166.18,2,6,0,1.48,2.453,2.1202857142857146,2.0045333333333333
2023-06-08,1,1,coil,C,2.0,12000,894.21,0,120.99,3,6,0,2.091,1.48,2.012571428571429,2.0048
2023-06-09,1,1,coil,C,2.0,12000,878.22,0,244.62,4,6,0,2.179,2.091,2.007142857142857,2.0112
2023-06-10,1,1,coil,C,2.0,12000,866.49,0,208.26,5,6,0,1.488,2.179,1.9601428571428572,2.0072666666666668
2023-06-11,1,1,coil,C,2.0,12000,867.47,0,225.47,6,6,0,1.686,1.488,1.9854285714285713,1.9940666666666664
2023-06-12,1,1,coil,C,2.0,12000,900.63,0,175.63,0,6,0,2.161,1.686,1.934,2.0197333333333334
2023-06-13,1,1,coil,C,2.0,12000,872.27,0,275.49,1,6,0,2.276,2.161,1.9087142857142858,2.0592333333333332
2023-06-14,1,1,coil,C,2.0,12000,876.38,0,264.35,2,6,0,2.0,2.276,1.983,2.0534
2023-06-15,1,1,coil,C,2.0,12000,871.43,0,248.19,3,6,0,2.441,2.0,2.033,2.047433333333333
2023-06-16,1,1,coil,C,2.0,12000,891.85,0,118.39,4,6,0,2.142,2.441,2.0277142857142856,2.0452333333333335
2023-06-17,1,1,coil,C,2.0,12000,869.33,0,208.53,5,6,0,1.539,2.142,2.035,2.0058666666666665
2023-06-18,1,1,coil,C,2.0,12000,881.65,0,209.03,6,6,0,2.047,1.539,2.0865714285714287,2.0104333333333333
2023-06-19,1,1,coil,C,2.0,12000,862.15,0,289.11,0,6,0,2.344,2.047,2.1127142857142855,2.0416000000000003
2023-06-20,1,1,coil,C,2.0,12000,892.43,0,212.51,1,6,0,1.693,2.344,2.0294285714285714,2.0576666666666665
2023-06-21,1,1,coil,C,2.0,12000,879.99,0,209.19,2,6,0,2.112,1.693,2.0454285714285714,2.0565333333333333
2023-06-22,1,1,coil,C,2.0,12000,881.16,0,326.93,3,6,0,2.229,2.112,2.0151428571428576,2.0464333333333333
2023-06-23,1,1,coil,C,2.0,12000,863.76,0,253.55,4,6,0,1.964,2.229,1.9897142857142858,2.0355333333333334
2023-06-24,1,1,coil,C,2.0,12000,770.89,1,242.61,5,6,0,1.57,1.964,1.994142857142857,2.0208
2023-06-25,1,1,coil,C,2.0,12000,876.57,0,263.51,6,6,0,1.0,1.57,1.8445714285714285,1.9664
2023-06-26,1,1,coil,C,2.0,12000,871.22,0,143.73,0,6,0,2.048,1.0,1.8022857142857143,2.0012333333333334
2023-06-27,1,1,coil,C,2.0,12000,883.25,0,240.22,1,6,0,1.99,2.048,1.8447142857142858,2.0262333333333333
2023-06-28,1,1,coil,C,2.0,12000,886.87,0,149.14,2,6,0,2.173,1.99,1.8534285714285714,2.0206999999999997
2023-06-29,1,1,coil,C,2.0,12000,867.88,0,160.04,3,6,0,2.041,2.173,1.8265714285714287,2.0192666666666668
2023-06-30,1,1,coil,C,2.0,12000,883.42,0,166.12,4,6,0,2.066,2.041,1.8411428571428572,2.0040666666666667
2023-07-01,1,1,coil,C,2.0,12000,870.58,0,194.26,5,7,0,1.257,2.066,1.7964285714285713,1.9511333333333336
2023-07-02,1,1,coil,C,2.0,12000,862.96,0,328.5,6,7,0,0.894,1.257,1.7812857142857141,1.9070333333333334
2023-07-03,1,1,coil,C,2.0,12000,895.43,0,269.43,0,7,0,1.112,0.894,1.6475714285714285,1.8835333333333333
2023-07-04,1,1,coil,C,2.0,12000,878.96,0,141.12,1,7,0,2.03,1.112,1.6532857142857142,1.9008999999999998
2023-07-05,1,1,coil,C,2.0,12000,899.22,0,192.51,2,7,0,2.043,2.03,1.6347142857142856,1.884966666666667
2023-07-06,1,1,coil,C,2.0,12000,889.65,0,181.91,3,7,0,1.896,2.043,1.6139999999999997,1.8663999999999998
2023-07-07,1,1,coil,C,2.0,12000,892.82,0,195.54,4,7,0,1.909,1.896,1.5915714285714286,1.8807000000000003
2023-07-08,1,1,coil,C,2.0,12000,871.51,0,204.94,5,7,0,1.148,1.909,1.576,1.8492666666666666
2023-07-09,1,1,coil,C,2.0,12000,890.04,0,182.47,6,7,0,1.072,1.148,1.6014285714285716,1.8123666666666667
2023-07-10,1,1,coil,C,2.0,12000,893.09,0,211.73,0,7,0,1.96,1.072,1.7225714285714286,1.8281
2023-07-11,1,1,coil,C,2.0,12000,890.71,0,167.14,1,7,0,1.607,1.96,1.6621428571428571,1.8254666666666668
2023-07-12,1,1,coil,C,2.0,12000,861.92,0,116.51,2,7,0,2.524,1.607,1.7308571428571429,1.8375666666666666
2023-07-13,1,1,coil,C,2.0,12000,897.28,0,137.92,3,7,0,1.608,2.524,1.6897142857142857,1.8153000000000001
2023-07-14,1,1,coil,C,2.0,12000,887.29,0,237.82,4,7,0,1.463,1.608,1.626,1.7974
2023-07-15,1,1,coil,C,2.0,12000,885.61,0,112.33,5,7,0,0.969,1.463,1.6004285714285715,1.7483333333333335
2023-07-16,1,1,coil,C,2.0,12000,894.91,0,248.59,6,7,0,1.099,0.969,1.6042857142857143,1.7135666666666665
2023-07-17,1,1,coil,C,2.0,12000,880.04,0,307.76,0,7,0,2.101,1.099,1.6244285714285716,1.7323
2023-07-18,1,1,coil,C,2.0,12000,867.48,0,135.58,1,7,0,1.973,2.101,1.6767142857142858,1.7298333333333331
2023-07-19,1,1,coil,C,2.0,12000,862.16,0,118.52,2,7,0,2.123,1.973,1.6194285714285714,1.7224666666666666
2023-07-20,1,1,coil,C,2.0,12000,889.98,0,176.54,3,7,0,2.005,2.123,1.6761428571428572,1.7328666666666666
2023-07-21,1,1,coil,C,2.0,12000,763.28,1,281.03,4,7,0,3.951,2.005,2.0315714285714286,1.7941666666666665
2023-07-22,1,1,coil,C,2.0,12000,869.06,0,192.09,5,7,0,1.392,3.951,2.0919999999999996,1.7662666666666667
2023-07-23,1,1,coil,C,2.0,12000,884.16,0,182.6,6,7,0,1.173,1.392,2.1025714285714288,1.7399
2023-07-24,1,1,coil,C,2.0,12000,872.13,0,123.8,0,7,0,1.656,1.173,2.039,1.7427666666666668
2023-07-25,1,1,coil,C,2.0,12000,892.95,0,228.7,1,7,0,1.287,1.656,1.941,1.7523333333333333
2023-07-26,1,1,coil,C,2.0,12000,890.52,0,204.77,2,7,0,1.871,1.287,1.9049999999999998,1.7464333333333333
2023-07-27,1,1,coil,C,2.0,12000,862.72,0,230.38,3,7,0,1.46,1.871,1.827142857142857,1.7287666666666666
2023-07-28,1,1,coil,C,2.0,12000,883.16,0,115.52,4,7,0,2.132,1.46,1.5672857142857144,1.7274
2023-07-29,1,1,coil,C,2.0,12000,866.04,0,208.99,5,7,0,1.036,2.132,1.5164285714285715,1.6939
2023-07-30,1,1,coil,C,2.0,12000,891.6,0,122.1,6,7,0,0.957,1.036,1.4855714285714288,1.6569333333333334
2023-07-31,1,1,coil,C,2.0,12000,896.48,0,145.61,0,7,0,2.052,0.957,1.542142857142857,1.6834333333333333
2023-08-01,1,1,coil,C,2.0,12000,877.21,0,134.03,1,8,0,1.726,2.052,1.6048571428571425,1.7111666666666667
2023-08-02,1,1,coil,C,2.0,12000,899.71,0,240.83,2,8,0,1.895,1.726,1.6082857142857143,1.7372666666666665
2023-08-03,1,1,coil,C,2.0,12000,891.77,0,177.31,3,8,0,1.923,1.895,1.6744285714285714,1.7337
2023-08-04,1,1,coil,C,2.0,12000,871.07,0,240.92,4,8,0,1.843,1.923,1.6331428571428572,1.7270333333333334
2023-08-05,1,1,coil,C,2.0,12000,892.0,0,222.33,5,8,0,0.97,1.843,1.6237142857142857,1.6961666666666668
2023-08-06,1,1,coil,C,2.0,12000,902.85,0,256.45,6,8,0,0.985,0.97,1.6277142857142857,1.6653666666666667
